(-119.17462499999999, -119.17462499999999, -119.17462499999999, -119.17462499999999)
(-118.38509071875001, -118.38509071875001, -118.38509071875001, -118.38509071875001)
(-117.42407164685156, -117.42407164685156, -117.42407164685156, -117.42407164685156)
(-116.45377436243263, -116.45377436243263, -116.45377436243263, -116.45377436243263)
(-115.47381597117406, -115.47381597117406, -115.47381597117406, -115.47381597117406)
(-114.48463659928208, -114.48463659928208, -114.48463659928208, -114.48463659928208)
(-113.48666576058127, -113.48666576058127, -113.48666576058127, -113.48666576058127)
(-112.48032662954839, -112.48032662954839, -112.48032662954839, -112.48032662954839)
(-111.46603604094042, -111.46603604094042, -111.46603604094042, -111.46603604094042)
(-110.44420451238226, -110.44420451238226, -110.44420451238226, -110.44420451238226)
(-109.41523626796695, -109.41523626796695, -109.41523626796695, -109.41523626796695)
(-108.37952926295218, -108.37952926295218, -108.37952926295218, -108.37952926295218)
(-107.33747520952502, -107.33747520952502, -107.33747520952502, -107.33747520952502)
(-106.28945960360602, -106.28945960360602, -106.28945960360602, -106.28945960360602)
(-105.23586175266702, -105.23586175266702, -105.23586175266702, -105.23586175266702)
(-104.17705480453371, -104.17705480453371, -104.17705480453371, -104.17705480453371)
(-103.11340577714789, -103.11340577714789, -103.11340577714789, -103.11340577714789)
(-102.04527558926176, -102.04527558926176, -102.04527558926176, -102.04527558926176)
(-100.97301909203858, -100.97301909203858, -100.97301909203858, -100.97301909203858)
(-99.896985101533531, -99.896985101533531, -99.896985101533531, -99.896985101533531)
(-98.817516432029592, -98.817516432029592, -98.817516432029592, -98.817516432029592)
(-97.734949930202717, -97.734949930202717, -97.734949930202717, -97.734949930202717)
(-96.64961651009142, -96.64961651009142, -96.64961651009142, -96.64961651009142)
(-95.561841188846273, -95.561841188846273, -95.561841188846273, -95.561841188846273)
(-94.471943123234496, -94.471943123234496, -94.471943123234496, -94.471943123234496)
(-93.380235646875974, -93.380235646875974, -93.380235646875974, -93.380235646875974)
(-92.287026308186654, -92.287026308186654, -92.287026308186654, -92.287026308186654)
(-91.192616909005693, -91.192616909005693, -91.192616909005693, -91.192616909005693)
(-90.097303543883584, -90.097303543883584, -90.097303543883584, -90.097303543883584)
(-89.001376640007635, -89.001376640007635, -89.001376640007635, -89.001376640007635)
(-87.905120997742969, -87.905120997742969, -87.905120997742969, -87.905120997742969)
(-86.808815831766111, -86.808815831766111, -86.808815831766111, -86.808815831766111)
(-85.71273481276944, -85.71273481276944, -85.71273481276944, -85.71273481276944)
(-84.617146109714554, -84.617146109714554, -84.617146109714554, -84.617146109714554)
(-83.522312432613646, -83.522312432613646, -83.522312432613646, -83.522312432613646)
